year,sd_nm,sd_cd,sgg_nm_kr,sgg_cd,sgg_nm_en,tot,men,women
2015,gangwon,32,횡성군,32320,hoengseong,"41,889","21,053","20,836"
2015,gangwon,32,영월군,32330,yeongwol,"36,498","18,712","17,786"
2015,gangwon,32,평창군,32340,pyeongchang,"39,857","20,398","19,459"
2015,gangwon,32,정선군,32350,jeongseon,"36,366","18,865","17,501"
2015,gangwon,32,철원군,32360,cheorwon,"45,201","24,194","21,007"
2015,gangwon,32,화천군,32370,hwacheon,"25,075","14,050","11,025"
2015,gangwon,32,양구군,32380,yanggu,"22,162","11,897","10,265"
2015,gangwon,32,인제군,32390,inje,"30,780","16,690","14,090"
2015,gangwon,32,고성군,32400,goseong,"28,164","15,013","13,151"
2015,gangwon,32,양양군,32410,yangyang,"25,521","12,901","12,620"
2015,chungbuk,33,충주시,33020,cheongju sangdang,"206,190","104,180","102,010"
2015,chungbuk,33,제천시,33030,cheongju heungdeok,"134,666","67,679","66,987"
2015,chungbuk,33,청주시상당구,33041,chungju,"170,644","85,080","85,564"
2015,chungbuk,33,청주시서원구,33042,jecheon,"219,719","108,707","111,012"
2015,chungbuk,33,청주시흥덕구,33043,cheongwon,"250,655","125,862","124,793"
2015,chungbuk,33,청주시청원구,33044,boeun,"178,536","90,299","88,237"
2015,chungbuk,33,보은군,33320,okcheon,"32,036","15,895","16,141"
2015,chungbuk,33,옥천군,33330,yeongdong,"49,813","24,951","24,862"
2015,chungbuk,33,영동군,33340,jincheon,"48,888","24,436","24,452"
2015,chungbuk,33,진천군,33350,goesan,"64,829","33,658","31,171"
2015,chungbuk,33,괴산군,33360,eumseong,"36,926","18,794","18,132"
2015,chungbuk,33,음성군,33370,danyang,"91,735","48,102","43,633"
2015,chungbuk,33,단양군,33380,jeungpyeong,"28,487","14,310","14,177"
2015,chungbuk,33,증평군,33390,cheonan dongnam,"35,465","18,008","17,457"
2015,chungnam,34,천안시동남구,34011,cheonan sebuk,"267,838","136,228","131,610"
2015,chungnam,34,천안시서북구,34012,gongju,"339,165","173,038","166,127"
2015,chungnam,34,공주시,34020,boryeong,"111,405","55,553","55,852"
2015,chungnam,34,보령시,34030,asan,"98,888","50,056","48,832"
2015,chungnam,34,아산시,34040,seosan,"302,716","155,672","147,044"
2015,chungnam,34,서산시,34050,nonsan,"164,492","84,627","79,865"
2015,chungnam,34,논산시,34060,gyeryong,"120,100","60,003","60,097"
2015,chungnam,34,계룡시,34070,geumsan,"39,029","19,345","19,684"
2015,chungnam,34,당진시,34080,yeongi,"157,387","82,449","74,938"
